iter	Passed	Remaining
0	1	285
1	2	264
2	5	342
3	5	291
4	8	314
5	9	300
6	10	280
7	12	297
8	13	295
9	16	307
10	18	316
11	19	303
12	21	311
13	23	316
14	25	309
15	26	303
16	28	307
17	30	310
18	32	312
19	34	306
20	36	308
21	37	305
22	39	307
23	42	309
24	44	310
25	46	312
26	49	314
27	51	314
28	53	313
29	55	313
30	56	307
31	57	303
32	59	303
33	62	303
34	64	302
35	66	301
36	68	301
37	70	300
38	72	300
39	74	298
40	76	298
41	79	297
42	81	296
43	83	295
44	85	294
45	87	293
46	89	291
47	91	289
48	93	287
49	95	286
50	97	284
51	99	282
52	101	280
53	103	279
54	105	277
55	107	275
56	108	272
57	110	270
58	112	268
59	114	267
60	116	265
61	118	263
62	120	261
63	122	259
64	124	258
65	126	256
66	128	254
67	130	252
68	132	250
69	134	249
70	136	247
71	138	245
72	139	243
73	142	241
74	144	240
75	145	238
76	147	236
77	150	234
78	152	233
79	154	232
80	156	230
81	159	228
82	161	227
83	163	225
84	165	224
85	168	222
86	170	220
87	172	219
88	174	217
89	177	216
90	180	215
91	182	213
92	184	212
93	186	210
94	188	208
95	190	206
96	192	204
97	194	202
98	196	200
99	198	198
100	200	196
101	202	194
102	204	192
103	206	190
104	208	188
105	210	186
106	212	184
107	214	182
108	216	180
109	218	178
110	220	176
111	222	174
112	224	172
113	226	170
114	228	168
115	230	166
116	232	164
117	234	162
118	236	160
119	238	158
120	240	156
121	242	154
122	244	152
123	246	150
124	248	148
125	249	146
126	251	144
127	253	142
128	255	140
129	257	138
130	259	136
131	261	134
132	263	132
133	265	130
134	267	128
135	269	126
136	271	124
137	273	122
138	275	120
139	277	118
140	278	116
141	280	114
142	282	112
143	284	110
144	286	108
145	288	106
146	290	104
147	292	102
148	294	100
149	296	98
150	298	96
151	300	94
152	302	92
153	304	90
154	306	88
155	308	86
156	309	84
157	311	82
158	313	80
159	315	78
160	317	76
161	319	74
162	321	73
163	323	71
164	325	69
165	327	67
166	329	65
167	331	63
168	333	61
169	335	59
170	337	57
171	339	55
172	341	53
173	343	51
174	345	49
175	347	47
176	349	45
177	351	43
178	353	41
179	354	39
180	356	37
181	358	35
182	360	33
183	362	31
184	364	29
185	366	27
186	368	25
187	370	23
188	372	21
189	374	19
190	376	17
191	378	15
192	380	13
193	382	11
194	384	9
195	386	7
196	388	5
197	390	3
198	392	1
199	394	0
